,title,artist,released,lyrics
78,California Girls,The Beach Boys,"July , 1965","Well, East Coast girls are hipI really dig those styles they wearAnd the Southern girls with the way they talkThey knock me out when I'm down thereThe Midwest farmer's daughters really make you feel alrightAnd the Northern girls with the way they kissThey keep their boyfriends warm at nightI wish they all could be California I wish they all could be CaliforniaI wish they all could be California girlsThe West Coast has the sunshineAnd the girls all get so tannedI dig a French bikini on Hawaii islandDolls by a palm tree in the sandI been all around this great big worldAnd I seen all kinds of girlsYeah, but I couldn't wait to get back in the statesBack to the cutest girls in the worldI wish they all could be California I wish they all could be CaliforniaI wish they all could be California girlsI wish they all could be CaliforniaI wish they all could be CaliforniaI wish they all could be CaliforniaI wish they all could be California"
79,Papaâs Got a Brand New Bag (Part 1),James Brown,"July , 1966","Come here, sisterPapa's in the swingHe ain't too hipAbout that new breed thingHe ain't no dragPapa's got a brand new bagCome here, mamaAnd dig this crazy sceneHe's not too fancyBut his line is pretty cleanHe ain't no dragPapa's got a brand new bagHe's doing The JerkHe's doing The FlyDon't play him cheap'Cause you know he ain't shyHe's doing The Monkey, The Mashed PotatoesJump back Jack, see you later, alligatorCome here, sisterPapa's in the swingHe ain't too hip nowBut I can dig the new breed thingHe ain't no dragHe's got a brand new bagWell, Papa, you're doing The JerkPapa, he's doing The JerkYou're doing The Twist, just like thisHe's doing The Fly every day and every nightThe thing, like The Boomerang"
80,Walk On By,Dionne Warwick,"April , 1964","If you see me walkin' down the streetAnd I start to cry each time we meetWalk on byWalk on byMake believe that you don't see the tearsJust let me grieve in private 'cause each time I see youI break down and cryWalk on by Walk on by Walk on byI just can't get over losin' youAnd so if I seem, broken and blueWalk on byWalk on byFoolish pride, that's all that I have leftSo let me hide the tears and the sadness you gave meWhen you said goodbyeWalk on by Walk on by Walk on by Walk on...Walk on byWalk on byFoolish pride, that's all that I have leftSo let me hide the tears and the sadness you gave meWhen you said goodbyeWalk on by Walk on by Now you really gotta go, so walk on by Baby, leave, you'll never see the tears I cry Now you really gotta go, so walk on by Mm, Baby, leave, you'll never see the tears I cry Now you really gotta go, so walk on by"
81,Crying,Roy Orbison,"Aug. , 1961","I was alright for a whileI could smile for a whileBut I saw you last nightYou held my hand so tightAs you stopped to say, ""Hello""Oh, you wished me wellYou couldn't tellThat I'd been crying over youCrying over youWhen you said, ""So long""Left me standing all aloneAlone and crying, cryingCrying, cryingIt's hard to understandBut the touch of your handCan start me cryingI thought that I was over youBut it's true, so trueI love you even moreThan I did beforeBut, darling, what can I do?For you don't love meAnd I'll always beCrying over youCrying over youYes, now you're goneAnd from this moment onI'll be crying, cryingCrying, cryingYeah, I'm crying, cryingOver you"
82,Tangled Up in Blue,Bob Dylan,"Jan. , 1975","Early one morning the sun was shiningI was laying in bedWondering if she'd changed at allIf her hair was still redHer folks they said our lives togetherSure was going to be roughThey never did like Mama's homemade dressPapa's bankbook wasn't big enoughAnd I was standing on the side of the roadRain falling on my shoesHeading out for the East CoastLord knows I've paid some duesGetting throughTangled up in blueShe was married when we first metSoon to be divorcedI helped her out of a jam, I guessBut I used a little too much forceWe drove that car as far as we couldAbandoned it out westSplit up on a dark sad nightBoth agreeing it was bestShe turned around to look at meAs I was walking awayI heard her say over my shoulder""We'll meet again somedayOn the avenue""Tangled up in blueI had a job in the great north woodsWorking as a cook for a spellBut I never did like it all that muchAnd one day the ax just fellSo I drifted down to New OrleansWhere I lucky was to be employedWorking for a while on a fishing boatRight outside of DelacroixBut all the while I was aloneThe past was close behindI seen a lot of womenBut she never escaped my mindAnd I just grewTangled up in blue"
83,Jailhouse Rock,Elvis Presley,"Oct. , 1957","The warden threw a party in the county jailThe prison band was there and they began to wailThe band was jumping and the joint began to swingYou shoulda heard those knocked out jailbirds singLet's rock, everybody, let's rockEverybody in the whole cell blockWas dancing to the Jailhouse RockSpider Murphy played the tenor saxophoneLittle Joey blowing on the slide tromboneThe drummer boy from Illinois went crash, boom, bangThe whole rhythm section was the Purple GangLet's rock, everybody, let's rockEverybody in the whole cell blockWas dancing to the Jailhouse RockNumber forty-seven said to number three""You the cutest jailbird I ever did seeI sure would be delighted with your companyCome on and do the Jailhouse Rock with me""Let's rock, everybody, let's rockEverybody in the whole cell blockWas dancing to the Jailhouse RockRock, rock, rockSad Sack was sitting on a block of stoneWay over in the corner weeping all aloneThe warden said, ""Hey, buddy, don't you be no squareYou can't find a partner, use a wooden chair"""
84,Redemption Song,Bob Marley & the Wailers,"June , 1980","Old pirates, yes, they rob ISold I to the merchant shipsMinutes after they took IFrom the bottomless pitBut my hand was made strongBy the hand of the AlmightyWe forward in this generationTriumphantlyWon't you help to singThese songs of freedom?'Cause all I ever haveRedemption songsRedemption songsEmancipate yourselves from mental slaveryNone but ourselves can free our mindsHave no fear for atomic energy'Cause none of them can stop the timeHow long shall they kill our prophetsWhile we stand aside and look?Ooh, some say it's just a part of itWe've got to fulfill the bookWon't you help to singThese songs of freedom?'Cause all I ever haveRedemption songsRedemption songsRedemption songsEmancipate yourselves from mental slaveryNone but ourselves can free our mindsWhoa! Have no fear for atomic energy'Cause none of them-ah can-ah stop-ah the timeHow long shall they kill our prophetsWhile we stand aside and look?Yes, some say it's just a part of itWe've got to fulfill the book"
85,Sunshine of Your Love,Cream,"Jan. , 1968","Itâs getting near dawnWhen lights close their tired eyesIâll soon be with you, my loveTo give you my dull surpriseIâll be with you, darling, soonIâll be with you when the stars start fallingIâve been waiting so longTo be where Iâm goingIn the sunshine of your loveIâm with you, my loveThe lights shining through on youYes, Iâm with you, my loveItâs the morning and just we twoIâll stay with you, darling, nowIâll stay with you 'til my seas are dried upIâve been waiting so longTo be where Iâm goingIn the sunshine of your loveIâm with you, my loveThe lights shining through on youYes, Iâm with you, my loveItâs the morning and just we twoIâll stay with you, darling, nowIâll stay with you 'til my seas are dried upIâve been waiting so longIâve been waiting so longIâve been waiting so longTo be where Iâm goingIn the sunshine of your love"
86,She Loves You,The Beatles,"Sept. , 1963","She loves you, yeah, yeah, yeahShe loves you, yeah, yeah, yeahShe loves you, yeah, yeah, yeah, yeahYou think you've lost your loveWell, I saw her yesterdayIt's you she's thinking ofAnd she told me what to sayShe says she loves youAnd you know that can't be badYes, she loves youAnd you know you should be gladShe said you hurt her soShe almost lost her mindBut now she said she knowsYou're not the hurting kindShe says she loves youAnd you know that can't be badYes, she loves youAnd you know you should be glad, oohShe loves you, yeah, yeah, yeahShe loves you, yeah, yeah, yeahWith a love like thatYou know you should be gladYou know it's up to youI think it's only fairPride can hurt you, tooApologise to her"
87,For What Its Worth,Buffalo Springfield,"Feb. , 1967","There's something happening hereBut what it is ain't exactly clearThere's a man with a gun over thereA-telling me I got to bewareI think it's time we stopChildren, what's that sound?Everybody look what's going downThere's battle lines being drawnAnd nobody's right if everybody's wrongYoung people speaking their mindsAre gettin' so much resistance from behindIt's time we stopHey, what's that sound?Everybody look what's going downWhat a field day for the heat A thousand people in the street Singing songs and a-carryin' signs Mostly say, ""Hooray for our side"" It's time we stoppedHey, what's that sound?Everybody look what's going downParanoia strikes deepInto your life, it will creepIt starts when you're always afraidStep out of line, the man come and take you away"
88,Bo Diddley,Bo Diddley,"June , 1955","Bo Diddley bought his babe a diamond ringIf that diamond ring don't shineHe going to take it to a private eyeIf that private eye can't seeHe'd better not take the ring from meBo Diddley caught a nanny goatTo make his pretty baby a Sunday coatBo Diddley caught a bearcatTo make his pretty baby a Sunday hatMojo come to my house, you black cat boneTake my baby away from homeUgly ole mojo, where you beenUp your house and gone againBo Diddley, Bo Diddley have you heard?My pretty baby said she wasn't for it"
89,Whole Lotta Shakin Going On,Jerry Lee Lewis,"June , 1957","Well, come on over babyWhole lot of shakin' goin' onI said come on over babyBaby, you can't go wrongWe ain't fakin'Whole lotta shakin' goin' onWell, I said come on over babyWe got chicken in the barn, woo-aCome on over babyReally got the bull by the hornWe ain't fakin'Whole lotta shakin' goin' onWell, I said shake baby, shake itI said shake baby, shake itI said shake it baby, shake itI said shake baby, shakeCome on overWhole lotta shakin' goin' onAh, let's goCome on over babyWe got chicken in the barnWhose barn, what barn, my barnCome on over baby really got the bull by the hornWe ain't fakin' whole lot of shakin' going onEasy nowShakeWell, shake it baby, yeahYou can shake one time for meCome over babyWhole lot of shakin' goin' on"
90,Lets Stay Together,Al Green,"Dec. , 1971","Let's stay togetherI, I'm so in love with youWhatever you want to do is alright with me'Cause you make me feel so brand newAnd I want to spend my life with youLet me say that since, baby, since we've been togetherOoh, loving you forever is what I needLet me be the one you come running toI'll never be untrueOoh, baby, let's, let's stay togetherLovin' you whetherWhether times are good or bad, happy or sadOoh, yeahWhether times are good or bad, happy or sadWhy somebody, why people break upTurn around and make up, I just can't seeYou'd never do that to me, would you baby?Just being around you is all I see, it's what I want to doLet's, we ought to stay togetherLovin' you whetherWhether times are good or bad, happy or sadC'mon, let's, let's stay togetherI'll keep on lovin' you whetherWhether times are, oh times are good or times are bad"
91,The Times They Are A-Changin,Bob Dylan,"Jan. , 1964","Come gather 'round people, wherever you roamAnd admit that the waters around you have grownAnd accept it that soon you'll be drenched to the boneIf your time to you is worth savingThen you better start swimmin' or you'll sink like a stoneFor the times, they are a-changin'Come writers and critics who prophesize with your penAnd keep your eyes wide, the chance won't come againAnd don't speak too soon, for the wheel's still in spinAnd there's no tellin' who that it's namin'For the loser now will be later to winFor the times, they are a-changin'Come senators, congressmen, please heed the callDon't stand in the doorway, don't block up the hallFor he that gets hurt will be he who has stalledThe battle outside ragin'Will soon shake your windows and rattle your wallsFor the times, they are a-changin'Come mothers and fathers throughout the landAnd don't criticize what you can't understandYour sons and your daughters are beyond your commandYour old road is rapidly agingPlease get out of the new one if you can't lend your handFor the times, they are a-changin'The line, it is drawn, the curse, it is castThe slow one now will later be fastAs the present now will later be pastThe order is rapidly fadingAnd the first one now will later be lastFor the times, they are a-changin'"
92,Billie Jean,Michael Jackson,"Jan. , 1983","She was more like a beauty queen from a movie sceneI said, ""Don't mind, but what do you mean, I am the oneWho will dance on the floor in the round?""She said I am the oneWho will dance on the floor in the roundShe told me her name was Billie Jean as she caused a sceneThen every head turned with eyes that dreamed of bein' the oneWho will dance on the floor in the roundPeople always told me, ""Be careful of what you doDon't go around breakin' young girls' hearts"" And mother always told me, ""Be careful of who you loveAnd be careful of what you do 'Cause the lie becomes the truth"" , hey-eyBillie Jean is not my lover, uhShe's just a girl who claims that I am the one But the kid is not my son She says I am the one But the kid is not my son For forty days and for forty nights, the law was on her sideBut who can stand when she's in demand? Her schemes and plans'Cause we danced on the floor in the round So take my strong adviceJust remember to always think twice Do think twice! She told my baby we'd danced 'til three, then she looked at meThen showed a photo of a baby cryin', his eyes were like mine 'Cause we danced on the floor in the round, baby People always told me, ""Be careful of what you doAnd don't go around breakin' young girls' hearts"" But she came and stood right by meJust the smell of sweet perfume This happened much too soon She called me to her room , hey-ey"
93,Whiter Shade of Pale,Procol Harum,"June , 1967","We skipped the light fandangoTurned cartwheels 'cross the floorI was feeling kinda seasickBut the crowd called out for moreThe room was humming harderAs the ceiling flew awayWhen we called out for another drinkThe waiter brought a trayAnd so it was that laterAs the miller told his taleThat her face, at first just ghostlyTurned a whiter shade of paleShe said, there is no reasonAnd the truth is plain to seeBut I wandered through my playing cardsAnd would not let her beOne of sixteen vestal virginsWho were leaving for the coastAnd although my eyes were openThey might have just as well've been closedAnd so it was that laterAs the miller told his taleThat her face at first just ghostlyTurned a whiter shade of pale"
94,Anarchy in the U.K.,Sex Pistols,"Nov. , 1977","Right now, heh heh heh hehI am an AntichristI am an anarchistDon't know what I want but I know how to get itI wanna destroy the passersby'Cause I, I wanna be anarchy!No dogsbody!Anarchy for the U.K. it's coming sometime and maybeI give a wrong time, stop a traffic lineYour future dream is a shopping scheme'Cause I, I wanna be anarchy!In the cityHow many ways to get what you wantI use the best, I use the restI use the N.M.EI use anarchy'Cause I, I wanna be anarchy!The only way to be!Is this the M.P.L.AOr is this the U.D.AOr is this the I.R.AI thought it was the U.KOr just another countryAnother council tenancy"
95,Long Tall Sally,Little Richard,"March , 1956","Gonna tell Aunt Mary 'bout Uncle JohnHe claim he has the misery but he has a lot of funOh, babyYes, babyWhoo, babyHaving me some fun tonight, yeahWell, long tall Sally, she's built for speedShe got everything that Uncle John needOh, babyYes, babyWhoo, babyHaving me some fun tonight, yeahWell, I saw Uncle John with bald-head SallyHe saw Aunt Mary coming and he ducked back in the alleyOh, babyYes, babyWhoo, babyHaving me some fun tonight, yeah owWell, long tall Sally, she's built for speedShe got everything that Uncle John needOh, babyYes, babyWhoo, babyHaving me some fun tonight, yeah"
96,Louie Louie,The Kingsmen,"June , 1963","Louie Louie, oh no, you take me where ya gotta goYeah, yeah, yeah, yeah, yeah, babyLouie Louie, oh baby, take me where ya gotta goA fine little girl, she waits for meMe catch the ship across the seaMe sailed that ship all aloneMe never think I'll make it homeLouie Louie, oh no no no, we gotta goOh noSaid Louie Louie, oh baby, me gotta goFuck!Three nights and days I sailed the seaMe think of girl constantlyOn that ship, I dream she thereI smell the rose in her hairLouie Louie, oh no, me gotta goYeah, yeah, yeah, yeah, yeah, babyLouie Louie, oh baby, said we gotta goOkay, let's give it to 'em right nowMe seeMe see Jamaica, the moon aboveIt won't be long me see me loveMe take her in my arms and thenI tell her I'll never leave againLouie Louie, oh no, we gotta goYeah, yeah, yeah, yeah, yeah, babyLouie Louie, oh baby, said we gotta goI said we gotta go nowLet's hustle on out of hereLet's go"
97,When a Man Loves a Woman,Percy Sledge,"March , 1966","When a man loves a womanCan't keep his mind on nothin' elseHe'd change the world for the good thing he's foundIf she is bad, he can't see itShe can do no wrongTurn his back on his best friend if he put her downWhen a man loves a womanHe'll spend his very last dimeTryin' to hold on to what he needsHe'd give up all his comfortsAnd sleep out in the rainIf she said that's the wayIt ought to beWell, this man loves you, womanI gave you everything I hadTryin' to hold on to your heartless loveBaby, please don't treat me badWhen a man loves a womanDown deep in his soulShe can bring him such miseryIf she is playin' him for a foolHe's the last one to knowLovin' eyes can never seeWhen a man loves a womanHe can do her no wrongHe can never wantSome other girlYes when a man loves a womanI know exactly how he feelsCause baby, baby, you're my worldWhen a man loves a woman..."
98,When Doves Cry,Prince,"June , 1984","Yeah, yeah, yeah, yeah, yeahYeah, yeah, yeah, yeah, yeahYeah, yeah, yeah, yeah, yeahDig, if you will, the pictureOf you and I engaged in a kissThe sweat of your body covers meCan you, my darling?Can you picture this?Dream, if you can, a courtyardAn ocean of violets in bloomAnimals strike curious posesThey feel the heatThe heat between me and youHow can you just leave me standingAlone in a world that's so cold? Maybe I'm just too demandingMaybe I'm just like my father, too boldMaybe you're just like my motherShe's never satisfied Why do we scream at each other?This is what it sounds likeWhen doves cryTouch, if you will, my stomach Feel how it trembles inside You've got the butterflies all tied upDon't make me chase youEven doves have prideHow can you just leave me standingAlone in a world so cold? Maybe I'm just too demandingMaybe I'm just like my father, too boldMaybe you're just like my motherShe's never satisfied Why do we scream at each other?This is what it sounds likeWhen doves cry"
99,The Message,Grandmaster Flash & the Furious Five,"May , 1982","It's like a jungle sometimesIt makes me wonder how I keep from going underIt's like a jungle sometimesIt makes me wonder how I keep from going underBroken glass everywherePeople pissing on the stairs, you know they just don't careI can't take the smell, can't take the noiseGot no money to move out, I guess I got no choiceRats in the front room, roaches in the backJunkies in the alley with a baseball batI tried to get away, but I couldn't get far'Cause a man with a tow truck repossessed my carDon't push me 'cause I'm close to the edgeI'm trying not to lose my headAh-huh-huh-huh-huhIt's like a jungle sometimesIt makes me wonder how I keep from going underStanding on the front stoop, hanging out the windowWatching all the cars go by, roaring as the breezes blowA crazy lady livin' in a bagEating out of garbage pails, used to be a fag hagSaid she'll dance the tango, skip the light fandangoA zircon princess, seemed to lost her sensesDown at the peep show watching all the creepsSo she can tell her stories to the girls back homeShe went to the city and got so, so sadittyShe had to get a pimp, she couldn't make it on her ownDon't push me 'cause I'm close to the edgeI'm trying not to lose my headAh-huh-huh-huh-huhIt's like a jungle sometimesIt makes me wonder how I keep from going underIt's like a jungle sometimesIt makes me wonder how I keep from going under"
